inquilinoID,nombre,email,tiene_garante,dni
1,Juan,juan@gmail.com,0,30654978
2,Maria,maria@gmail.com,1,37400621
3,Carlos,carlos@gmail.com,1,40697842
4,Sofia,sofia@gmail.com,0,42593427
5,Ciro,ciro@gmail.com,1,39716963
6,Marcos,marcos@gmail.com,1,30489090
7,Ana,ana@gmail.com,0,31234567
8,Pedro,pedro@gmail.com,1,38901234
9,Lucia,lucia@gmail.com,0,41567890
10,Diego,diego@gmail.com,1,32456789
11,Valentina,valentina@gmail.com,0,39876543
12,Nicolas,nicolas@gmail.com,1,40123456
13,Laura,laura@gmail.com,0,33456789
14,Mateo,mateo@gmail.com,1,34789012
15,Camila,camila@gmail.com,0,35123456
16,Benjamin,benjamin@gmail.com,1,36456789
